time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-09-23T02:09:13.270Z,19.4311667,-155.6176667,3.332,2.01,ml,12,114,0.02492,0.06,hv,hv61421031,2016-09-23T18:30:14.220Z,"26km E of Honaunau-Napoopoo, Hawaii",earthquake,0.34,0.32,0.211,6,reviewed,hv,hv
2016-09-23T01:48:34.400Z,17.7929,-62.5085,83.33,4,mb,,124,0.596,0.34,us,us10006rtr,2016-09-23T13:52:00.570Z,"22km NE of Dieppe Bay Town, Saint Kitts and Nevis",earthquake,7.2,7.3,0.231,5,reviewed,us,us
2016-09-23T01:34:13.000Z,36.5353333,-89.6306667,7.22,1.5,md,16,62,0.03133,0.08,nm,nm60134252,2016-09-23T14:29:39.770Z,"6km SSW of Lilbourn, Missouri",earthquake,0.49,0.88,0.044,4,reviewed,nm,nm
2016-09-23T00:52:46.120Z,37.7866,-117.7139,4.6,1.8,ml,11,136.22,0.275,0.2019,nn,nn00561094,2016-09-23T16:38:43.915Z,"43km WNW of Goldfield, Nevada",earthquake,,4.3,0.22,4,reviewed,nn,nn
2016-09-23T00:47:06.560Z,38.8326683,-122.7721634,1.64,1.01,md,15,88,0.002811,0.03,nc,nc72700956,2016-09-23T00:48:43.903Z,"4km WNW of Cobb, California",earthquake,0.26,0.38,0.09,4,automatic,nc,nc
2016-09-23T00:42:33.860Z,34.5011,141.9634,10,4.9,mb,,128,2.253,0.96,us,us10006rtm,2016-09-23T01:21:50.314Z,"166km ESE of Ohara, Japan",earthquake,7.4,1.9,0.084,45,reviewed,us,us
2016-09-23T00:34:48.460Z,36.45,-89.5291667,8.39,1.28,md,9,152,0.06392,0.04,nm,nm60134247,2016-09-23T14:35:44.330Z,"9km NNW of Tiptonville, Tennessee",earthquake,0.52,0.93,0.02,3,reviewed,nm,nm
2016-09-23T00:31:33.880Z,38.8158333,-122.7406667,1.19,1.39,md,37,66,0.003797,0.06,nc,nc72700946,2016-09-23T17:52:02.575Z,"1km WSW of Cobb, California",earthquake,0.13,0.18,0.209,8,reviewed,nc,nc
2016-09-23T00:30:25.960Z,34.8537,141.599,10,4.5,mb,,168,1.79,0.77,us,us10006rtk,2016-09-23T01:26:50.465Z,"119km SE of Hasaki, Japan",earthquake,8.2,1.9,0.163,11,reviewed,us,us
2016-09-23T00:25:19.170Z,-27.9175,-71.3418,18.59,4.2,mb,,181,0.371,0.89,us,us10006rtg,2016-09-23T01:25:36.040Z,"92km NW of Vallenar, Chile",earthquake,4.5,3.5,0.214,6,reviewed,us,us
